id,question,A,B,C,D,E,answer
143,支气管哮喘患者，持续发作24h，大汗淋漓，发绀，端坐呼吸，双肺散在哮鸣音。首选治疗的是（　　）。,补液＋糖皮质激素静脉滴注＋氨茶碱静脉滴注,补液＋氨茶碱＋β2受体激动剂,沙丁胺醇雾化吸入＋异丙托溴铵吸入,色甘酸钠吸入＋糖皮质激素,654-2静脉注射,
144,制成脂质体以降低药物肾毒性的抗真菌药物是:,两性霉素,卡泊芬净,氟胞嘧啶,阿糖胞苷,酮康唑,
145,治疗甲状腺功能亢进症可选用的药物是（　　）。,甲巯咪唑,二甲双胍,米非司酮,甲状腺激素,甲苯磺丁脲,
146,治疗青光眼宜选用,左氧氟沙星滴眼液,复方托吡卡胺滴眼液,毛果芸香碱滴眼液,碘苷滴眼液,阿昔洛韦滴眼液,
147,治疗绦虫病的首选药品是,哌嗪,伊维菌素,吡喹酮,伯氨喹,噻嘧啶,
148,治疗药物评价的内容，一般不包括的项目是,有效性,安全性,经济性,依从性,药品质量,
149,治疗月经先后不定期肾虚证，应首选（）,举元煎,大补元煎,保阴煎,固阴煎,归肾丸,
150,重中成药血脂康中含有的化学成分是()。,洛伐他丁,辛伐他丁,阿托伐他丁钙,依折麦布,非诺贝特,
151,紫苏的功效是（）。,既能解表，又能止痉,既能解表，又能化湿,既能解表，又能行气,既能解表，又能平喘,既能解表，又能止痛,
152,作用于神经氨酸酶的抗流感毒药物的是(),阿昔洛韦,利巴韦林,奥司他韦,膦甲酸钠,金刚烷胺,
