id,context,question,A,B,C,D,answer
59,"11.12毒品
指中华人民共和国刑法规定的鸦片、海洛因、甲基苯丙胺（冰毒）、吗啡、
大麻、可卡因以及国家规定管制的其他能够使人形成瘾癖的麻醉药品和精神
药品，但不包括由医生开具并遵医嘱使用的用于治疗疾病但含有毒品成分的
处方药品。",哪些药物被归为毒品？,根据以上保险条款内容，被归为毒品的药物包括鸦片、海洛因、甲基苯丙胺（冰毒）、吗啡、大麻、可卡因以及国家规定管制的其他能够使人形成瘾癖的麻醉药品和精神药品。,可卡因不是毒品。,血液净化药物也被归为毒品。,仅有鸦片、海洛因和冰毒被归为毒品。,A
60,"10.严重慢性肝衰竭
指因慢性肝脏疾病导致的肝衰竭，且须满足下列全部条件：
（1）持续性黄疸；
（2）腹水；
（3）肝性脑病；
（4）充血性脾肿大伴脾功能亢进或食管胃底静脉曲张。
因酗酒或药物滥用导致的肝衰竭不在保障范围内。",什么是严重慢性肝衰竭符合的条件？,(1)腹水; (2)自身免疫性肝炎; (3)慢性肾衰竭; (4)酗酒或药物滥用。,(1)肝性脑病; (2)充血性脾肿大伴脾功能亢进或食管胃底静脉曲张; (3)持续性黄疸; (4)腹水。,(1)持续性黄疸; (2)腹水; (3)肝性脑病; (4)充血性脾肿大伴脾功能亢进或食管胃底静脉曲张。,(1)肝性脑病; (2)慢性黄疸; (3)肾性脑病; (4)持续性腹泻。,C
61,"63.血管性痴呆
指由缺血性卒中、出血性卒中和造成记忆、认知和行为等脑区低灌注的脑血
管疾病所致的严重认知功能障碍综合征。被保险人自主生活能力完全丧失，
无法独立完成六项基本日常生活活动中的三项或三项以上，日常生活必须持
续受到他人监护。导致痴呆的疾病必须明确诊断，并且有完整的临床、实验
室和影像学检查结果证实。
神经官能症、精神疾病及酒精中毒所致脑损害不在保障范围内。",什么是血管性痴呆的定义？,血管性痴呆只能由缺血性卒中引起。,血管性痴呆定义不需临床、实验室和影像学检查的结果作为证实。,血管性痴呆是由缺血性卒中、出血性卒中和造成记忆、认知和行为等脑区低灌注的脑血管疾病所致的严重认知功能障碍综合征。,血管性痴呆是由神经官能症引起的认知功能障碍。,C
62,"4.1
保险费的支付
本合同的保险费采用一次性交清和期交(即在约定的交费期间内每年支付一次
保险费)方式支付。本合同提供的期交交费期间为3年交、5年交、10年交、15
年交、20年交和30年交六种。您在投保时与我们约定交费方式和交费期间，
并在保险单上载明。
选择期交交费方式的，在支付首期保险费后，您应当按照约定，在每个保险费
约定支付日支付其余各期保险费。",期交交费方式的保险费应该如何支付？,期交交费方式下的保险费可以在任意时间支付。,期交交费方式下的保险费只需支付一次。,在支付首期保险费后，应按照约定，在每个保险费约定支付日支付其余各期保险费。,期交交费方式下的保险费由保险公司在指定日期自动扣款。,C
63,"附表
保障计划表
在本条款中，“您”指投保人，“我们”、“本公司”均指在保险单上签章的德华安顾人寿
保险有限公司，“本合同”指您与我们之间订立的“德华安顾安健e生医疗保险合同”，“本产
品”指“德华安顾安健e生医疗保险”产品，“被保险人”指本合同的被保险人，投保人、被保
险人的姓名在保险单上载明。",在德华安顾安健e生医疗保险合同中，被保险人指谁？,德华安顾安健e生医疗保险有限公司,本合同的被保险人,本公司,投保人,B
64,"（五十一）严重幼年型类风湿关节炎
指为了治疗幼年型类风湿关节炎，实际实施了膝关节或髋关节置换手术。
幼年型类风湿关节炎是一种儿童期发病的慢性关节炎，其特点为在高热和系
统性病征出现数月后发生关节炎。
被保险人疾病诊断时年龄必须在年满十八周岁之前。",保险是否覆盖因幼年型类风湿关节炎而实施的膝关节置换手术？,保险不覆盖因幼年型类风湿关节炎而实施的膝关节置换手术。,保险只覆盖因幼年型类风湿关节炎而实施的髋关节置换手术。,保险覆盖因幼年型类风湿关节炎而实施的膝关节置换手术。,保险只覆盖因成人型类风湿关节炎而实施的膝关节置换手术。,C
65,"7.1
合同构成
本合同由所载的条款、保险单、投保单以及有关的声明、批注、其它约定
书构成。
若上述构成本合同的文件正本需留本公司存档，则其复印件或电子影像印
刷件亦视为本合同的构成部分，其效力与正本相同；若复印件或电子影像
印刷件的内容与正本不同时，则以正本为准。
本合同条款依法按照通常理解予以解释，如合同条款有两种以上解释的，
作有利于被保险人或受益人的解释。",复印件或电子影像印刷件是否视为本合同的构成部分？,不是，在条款中没有明确说明复印件或电子影像印刷件是否构成本合同的一部分。,是，但是复印件或电子影像印刷件的效力与正本不同。,是，复印件或电子影像印刷件视为本合同的构成部分，其效力与正本相同。,不是，只有正本才视为本合同的构成部分。,C
66,"8.1.109
额颞叶痴呆
指一组以额颞叶萎缩为特征的痴呆综合征，临床以明显的人格、行为改变和
认知障碍为特征。被保险人自主生活能力完全丧失，无法独立完成六项基本
日常生活活动中的三项或三项以上，日常生活必须持续受到他人监护。导致
痴呆的疾病必须明确诊断，并且有完整的临床、实验室和影像学检查结果证
实。
神经官能症，精神疾病及酒精中毒所致脑损害不在保障范围内。",额颞叶痴呆的临床特征是什么？,额颞叶痴呆的临床特征是记忆力障碍和语言障碍。,额颞叶痴呆的临床特征是背部疼痛和头痛。,额颞叶痴呆的临床特征是视力模糊和听力下降。,额颞叶痴呆的临床特征包括明显的人格、行为改变和认知障碍。,D
67,"10.12深度昏迷
指因疾病或意外伤害导致意识丧失，对外界刺激和体内需求均无反应，昏迷
程度按照格拉斯哥昏迷分级（GCS，GlasgowComaScale）结果为5分或5分
以下，且已经持续使用呼吸机及其他生命维持系统96小时以上。
因酗酒或药物滥用导致的深度昏迷不在保障范围内。",深度昏迷保险的赔偿是否包括因酗酒导致的深度昏迷？,根据医疗费用高低决定是否包括,包括,不包括,可能包括也可能不包括,C
68,"8.14
肿瘤内分泌疗法
指针对于恶性肿瘤的内分泌疗法，用药物抑制激素生成和激素反应，杀死癌细
胞或抑制癌细胞的生长。本合同所指的内分泌疗法使用的药物需符合法律、法
规要求并经过国家食品药品监督管理总局批准用于临床治疗。",肿瘤内分泌疗法使用的药物需符合什么要求？,使用的药物需符合法律、法规要求并经过国家食品药品监督管理总局批准用于临床治疗。,使用的药物需符合医院的要求。,使用的药物需符合世界卫生组织的要求。,使用的药物需符合患者的要求。,A
69,"3.6
宣告死亡处理
在本合同保险期间内，被保险人下落不明且经人民法院宣告被保险人死亡
后，我们根据法院宣告死亡判决依法确定被保险人死亡日期，并按本条款
和谐健康保险股份有限公司
-11-
与身故有关的约定处理。若被保险人在宣告死亡后重新出现，身故保险金
受益人或继承人应于知道或应该知道被保险人重新出现后30日内将领取
的身故保险金退还给我们。",若被保险人在宣告死亡后重新出现，应该将已领取的身故保险金退还给谁？,若被保险人在宣告死亡后重新出现，身故保险金受益人或继承人应该将已领取的身故保险金退还给保险公司。,若被保险人在宣告死亡后重新出现，应该将已领取的身故保险金退还给民政部门。,若被保险人在宣告死亡后重新出现，应该将已领取的身故保险金退还给被保险人自己。,若被保险人在宣告死亡后重新出现，应该将已领取的身故保险金退还给家属或亲友。,A
70,"93
Brugada综合征
指由我们认可医院的心脏专科医生诊断为夜间呼吸骤停（Brugada）综合征，
且满足下列全部条件：
（1）有晕厥或心脏骤停病史，并提供完整的诊疗记录；
（2）心电图有典型的Ⅰ型Brugada波；
（3）已经安装了永久性心脏除颤器。",为了被认可为Brugada综合征，在心电图上必须出现哪种类型的波？,必须出现Ⅲ型Brugada波。,必须出现Ⅱ型Brugada波。,必须出现典型的Ⅰ型Brugada波。,必须出现ST段抬高。,C
71,"6.6
争议处理
本合同争议解决方式由当事人约定从下列两种方式中选择一种：
1.因履行本合同发生的争议，由当事人协商解决，协商不成的，提交双方共同
选定的仲裁委员会仲裁；
2.因履行本合同发生的争议，由当事人协商解决，协商不成的，依法向人民法
院起诉。",当出现争议时，双方可以选择什么方式解决？,当事人只能通过协商解决争议，不能选择其他方式。,当事人只能通过仲裁委员会解决争议。,当事人可以选择通过协商解决，协商不成的情况下，可以选择提交双方共同选定的仲裁委员会仲裁。,当事人只能通过法院起诉解决争议。,
72,"第十九条
您解除合同的手续及风险
如果被保险人未发生保险事故，且您申请解除本合同，请填写解除合同申请书并向我们提供下列资料：
一、保险合同；
二、您的有效身份证件。
自我们收到解除合同申请书时起，本合同终止。我们自收到解除合同申请书之日起30日内向您退还保险
单的未经过净保费44。在您要求解除本合同的保险期间内，如果我们已给付过任何保险金，则不退还未经过",当申请解除保险合同时，需要提供哪些资料？,保险合同和解除合同申请书,解除合同申请书和有效身份证件,有效身份证件和退还保险单的凭证,保险合同和有效身份证件,
73,"8.2
我们合同解除权的限制
前条规定的合同解除权，自我们知道有解除事由之日起，超过30日不行使而
消灭。自本主险合同成立之日或复效之日起超过2年的，我们不得解除合同；
发生保险事故的，我们承担给付保险金的责任。",根据以上保险条款，合同解除权有哪些限制？,根据以上保险条款，合同解除权没有任何限制。,根据以上保险条款，合同解除权有两个限制：1. 解除权必须在30日内行使，超过30日将无效；2. 合同成立或复效两年后，我们不得解除合同。,根据以上保险条款，合同解除权必须在60日内行使，超过60日将无效。,根据以上保险条款，合同解除权不受任何时间限制，可以随时行使。,
74,"102.席汉氏综合征
指因产后大出血并发休克、全身循环衰竭、弥漫性血管内凝血导致脑垂体缺血
坏死和垂体分泌激素不足，造成性腺、甲状腺、肾上腺皮质功能减退。必须满
足下列所有条件：
（1）产后大出血休克病史；
（2）严重腺垂体功能破坏，破坏程度>95%；
（3）影像学检查显示脑垂体严重萎缩或消失；
（4）实验室检查显示：",什么是席汉氏综合征？,席汉氏综合征是一种生殖系统疾病。,席汉氏综合征是指因产后大出血并发休克、全身循环衰竭、弥漫性血管内凝血导致脑垂体缺血坏死和垂体分泌激素不足，造成性腺、甲状腺、肾上腺皮质功能减退。,席汉氏综合征是一种脑部损伤疾病。,席汉氏综合征是因甲状腺功能亢进引起的。,
75,"23.语言能力丧失-3周岁始理赔
指因疾病或意外伤害导致语言能力完全丧失（注6），经过积极治疗至少12个月
（声带完全切除不受此时间限制），仍无法通过现有医疗手段恢复。
精神心理因素所致的语言能力丧失不在保障范围内。
被保险人申请理赔时年龄必须在3周岁以上，并且提供理赔当时的语言能力丧失
诊断及检查证据。",在什么情况下可以申请保险理赔？,只要提供理赔当时的语言能力丧失诊断及检查证据就可以申请保险理赔。,只有在精神心理因素所致的语言能力丧失情况下可以申请保险理赔。,只要被保险人年龄在3周岁以上都可以申请保险理赔。,只有在因疾病或意外伤害导致语言能力完全丧失，经过积极治疗至少12个月后仍无法通过现有医疗手段恢复时可以申请保险理赔。,
76,"65.艾森门格综合征
因心脏病导致的严重肺动脉高压及右向左分流。诊断必须由心脏专科医生经超
声心动图和心导管检查证实及需符合以下所有标准：
（1）平均肺动脉压高于40mmHg；
（2）肺血管阻力高于3mm/L/min（Wood单位）；
（3）正常肺微血管楔压低于15mmHg。",什么是艾森门格综合征的诊断标准？,诊断艾森门格综合征的标准包括平均肺动脉压高于30mmHg、肺血管阻力高于5mm/L/min、正常肺微血管楔压低于20mmHg。,诊断艾森门格综合征的标准包括平均肺动脉压高于40mmHg、肺血管阻力高于3mm/L/min、正常肺微血管楔压低于15mmHg。,诊断艾森门格综合征的标准包括平均肺动脉压高于40mmHg、肺血管阻力高于3mm/L/min、正常肺微血管楔压低于20mmHg。,诊断艾森门格综合征的标准包括平均肺动脉压高于50mmHg、肺血管阻力高于2mm/L/min、正常肺微血管楔压低于10mmHg。,
77,"3.神经母细胞瘤
指原发于神经母细胞的恶性肿瘤，恶性肿瘤释义参考重度疾病中的“恶性肿瘤—
—重度”释义。
下列疾病不在保障范围内：
（1）原位癌；
（2）感染艾滋病病毒或患艾滋病期间所患恶性肿瘤（但不包括本合同所指的“经
输血导致的HIV感染”、“因职业关系导致的HIV感染”、“器官移植导致的HIV感
染”）。",保险条款中列举的不在保障范围内的疾病有哪些？,不在保障范围内的疾病有重度疾病和感染艾滋病病毒。,不在保障范围内的疾病有原位癌和感染艾滋病病毒或患艾滋病期间所患恶性肿瘤（不包括被输血、因职业关系或器官移植导致的HIV感染）。,不在保障范围内的疾病有癌症和艾滋病。,不在保障范围内的疾病有神经母细胞瘤和原位癌。,
78,"8.1.6
严重慢性肾衰竭
指双肾功能慢性不可逆性衰竭，依据肾脏病预后质量倡议（K/DOQI）制定的指
南，分期达到慢性肾脏病5期，且经诊断后已经进行了至少90天的规律性透
析治疗。规律性透析是指每周进行血液透析或每天进行腹膜透析。",按照K/DOQI制定的指南，严重慢性肾衰竭是指什么情况？,严重慢性肾衰竭是指双肾功能慢性可逆性衰竭，无需进行透析治疗。,严重慢性肾衰竭是指双肾功能短暂性衰退，需要进行至少90天的规律性透析治疗。,严重慢性肾衰竭指双肾功能慢性不可逆性衰竭，分期达到慢性肾脏病5期，且经诊断后已经进行了至少90天的规律性透析治疗。,严重慢性肾衰竭是指双肾功能慢性不可逆性衰竭，经诊断后进行了30天的规律性透析治疗即可。,
79,"8.10
初次患本合同所列的特定疾病
指被保险人患有同时符合以下条件的特定疾病：
（1）被保险人自出生后首次被专科医生确诊患该特定疾病；
（2）该特定疾病已在本合同中列明，且符合本合同的定义。
对于被保险人在本合同生效日前被专科医生确诊患本合同所列特定疾病的，我
们不承担保险责任。",被保险人在本合同生效日前就已被专科医生确诊患有本合同所列的特定疾病，保险公司会承担保险责任吗？,保险公司会承担保险责任。,保险公司仅承担部分保险责任。,不会承担保险责任。,保险公司会根据被保险人的疾病情况来决定是否承担保险责任。,
80,"中银三星中银医守护医疗保险条款第28页，共43页
不可逆性的严重痴呆，临床表现为明显的认知能力障碍、行为异常和
社交能力减退。被保险人自主生活能力完全丧失，无法独立完成六项
基本日常生活活动中的三项或三项以上，日常生活必须持续受到他人
监护。导致痴呆的疾病必须明确诊断，并有完整的临床、实验室和影
像学检查结果证实。
因酒精中毒导致的严重痴呆不在保障范围内；神经官能症和精神疾病
不在保障范围内。",什么情况下不在中银三星中银医守护医疗保险的保障范围内？,只有明显的认知能力障碍但不影响行为和社交能力的情况不在保障范围内。,普通痴呆不在保障范围内。,酒精中毒导致的严重痴呆不在保障范围内；神经官能症和精神疾病不在保障范围内。,只要被保险人需要他人监护生活，不论原因何种都可获得保险赔付。,
81,"7.17
感染艾滋病病毒或患艾滋病
艾滋病病毒指人类免疫缺陷病毒，英文缩写为HIV。艾滋病指人类免疫缺
陷病毒引起的获得性免疫缺陷综合征，英文缩写为AIDS。
在人体血液或其他样本中检测到艾滋病病毒或其抗体呈阳性，没有出现临
床症状或体征的，为感染艾滋病病毒；如果同时出现了明显临床症状或体
征的，为患艾滋病。",在人体血液或其他样本中检测到艾滋病病毒或其抗体呈阳性但没有出现临床症状或体征的情况下，是否可以被认定为感染艾滋病病毒?,可以被认定为感染艾滋病病毒。,只有在血液样本中检测到艾滋病病毒才可以被认定为感染艾滋病病毒。,只有出现明显临床症状或体征才可以被认定为感染艾滋病病毒。,只有在其他样本中检测到艾滋病病毒才可以被认定为感染艾滋病病毒。根据以上保险条款内容，如果在人体血液或其他样本中检测到艾滋病病毒或其抗体呈阳性，并且没有出现临床症状或体征，那么可以被认定为感染艾滋病病毒。这是符合保险条款中的定义的。,
82,"25.自体造血干细胞移植
指由于患者自身骨髓造血功能异常或为了达到治疗肿瘤的目的，采集患者自己
的一部分造血干细胞，分离并深低温保存，再回输给患者使患者的造血功能和
免疫功能重新恢复的一种治疗方法。该治疗须由专科医生认为在临床上是必需
的。",什么是自体造血干细胞移植?,自体造血干细胞移植是指采集患者自身骨髓造血功能异常或为了治疗肿瘤的目的，分离并保存一部分造血干细胞后重新回输给患者，以恢复其造血功能和免疫功能。,自体造血干细胞移植是指从无关人员中采集造血干细胞进行移植。,自体造血干细胞移植是指从同一家族中采集造血干细胞进行移植。,自体造血干细胞移植是指将提前采集并保存的造血干细胞与其他患者进行匹配后进行移植。,
83,"10.54严重克雅氏病是一种传染性海绵状脑病，临床表现为快速进行性痴呆、肌阵挛和特征性脑
电图变化。本病须经三级医院的专科医生根据WHO诊断标准明确诊断，并且
被保险人自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的
三项或三项以上。
疑似病例不在本保障范围内。",什么是严重克雅氏病的诊断标准？,严重克雅氏病的诊断可以由任何医生进行。,严重克雅氏病的诊断需根据WHO的诊断标准进行，只有三级医院的专科医生能够明确诊断。,严重克雅氏病的诊断标准不需要遵循WHO的要求。,只要被保险人有典型症状，不需要进行专门的诊断就可以得到保险赔偿。,
84,"10.97骨生长不全症是一种胶原病，特征为骨易碎，骨质疏松和易骨折。该病有4种类型：Ⅰ
型、Ⅱ型、Ⅲ型、Ⅳ型。本合同只保障Ⅲ型成骨不全的情形，其主要临床特
点有：发展迟缓、多发性骨折、进行性脊柱后侧凸及听力损害。Ⅲ型成骨不
全的诊断必须根据身体检查，家族史，X线检查和皮肤活检报告资料确诊。
本项疾病责任不受本合同“3.1责任免除”中“遗传性疾病，先天性畸形、
变形或染色体异常”的限制。",本合同只保障哪种骨生长不全症的情况？,本合同只保障Ⅰ型成骨不全的情形。,本合同只保障Ⅳ型成骨不全的情形。,本合同只保障Ⅲ型成骨不全的情形。,本合同只保障Ⅱ型成骨不全的情形。,
85,"10.13双耳失聪
指因疾病或意外伤害导致双耳听力永久不可逆
34性丧失，在500赫兹、1000赫
兹和2000赫兹语音频率下，平均听阈大于等于91分贝，且经纯音听力测试、
声导抗检测或听觉诱发电位检测等证实。
被保险人申请理赔时年龄必须在三周岁以上，并且提供理赔当时的听力丧失
诊断及检查证据。",什么情况下可以申请保险理赔？,无论年龄大小，只要双耳失聪即可申请保险理赔。,只需提供理赔申请时的听力丧失诊断证明即可申请保险理赔。,被保险人必须年满18岁才能申请保险理赔。,当被保险人在三周岁以上并且被诊断出10.13双耳失聪，通过纯音听力测试、声导抗检测或听觉诱发电位检测等证实听力丧失，并且在500赫兹、1000赫兹和2000赫兹语音频率下，平均听阈大于等于91分贝。,
86,"6.2
宽限期
分期支付保险费的，您支付首期保险费后，除本合同另有约定外，如果您到
期未支付保险费，自保险费约定支付日的次日零时起60日为宽限期。宽限期
内发生的保险事故，我们仍会承担保险责任，但在给付保险金时会扣减您欠
交的保险费。
如果您宽限期结束之后仍未支付保险费，则本合同自宽限期满的次日零时起
效力中止。",如果保险期内在宽限期内发生保险事故，保险公司会怎么处理？,在宽限期内发生的保险事故，保险公司会要求先支付未支付的保险费才会承担保险责任。,在宽限期内发生的保险事故，保险公司会立即中止保险合同。,在宽限期内发生的保险事故，保险公司仍会承担保险责任，但在给付保险金时会扣减未支付的保险费。,在宽限期内发生的保险事故，保险公司会拒绝承担保险责任，不予赔偿。,
87,"10.70破裂脑动脉夹闭手术
指因脑动脉瘤破裂造成蛛网膜下腔出血，被保险人实际接受了在全麻下进行
的开颅动脉瘤夹闭手术。脑动脉瘤（未破裂）预防性手术、颅骨打孔手术、
动脉瘤栓塞手术、血管内手术及其他颅脑手术不在保障范围内。",如果被保险人因脑动脉瘤破裂导致蛛网膜下腔出血，接受全麻下的开颅动脉瘤夹闭手术，是否可以享受保险范围内的保障？,不可以，因为手术是开颅动脉瘤夹闭手术。,不可以，因为手术是因为脑动脉瘤破裂导致的。,是的，被保险人可以享受保险范围内的保障。,不可以，因为手术是在全麻下进行的。,
88,"8
严重脑中风后遗症
*
指因脑血管的突发病变引起脑血管出血、栓塞或梗塞，须由头颅断层扫描
（CT）、核磁共振检查（MRI）等影像学检查证实，并导致神经系统永久性的功
能障碍。神经系统永久性的功能障碍，指疾病确诊180天后，仍遗留下列至",什么是严重脑中风后遗症？,严重脑中风后遗症是指因脑血管的突发病变引起脑血管出血、栓塞或梗塞，并导致神经系统永久性的功能障碍。,严重脑中风后遗症是指短暂的脑血管病发作后遗留的症状。,严重脑中风后遗症是指脑部血管疾病引起的短时间的神经功能障碍。,严重脑中风后遗症是指大脑受伤后的暂时性功能障碍。,
89,"8.26
严重慢性呼吸衰竭
指因慢性呼吸系统疾病导致永久不可逆性的呼吸衰竭，经过积极治疗180天
后满足以下所有条件：
(1)静息时出现呼吸困难；
(2)肺功能第一秒用力呼气容积（FEV1）占预计值的百分比＜30%；
(3)在静息状态、呼吸空气条件下，动脉血氧分压（PaO2）＜50mmHg。",什么是严重慢性呼吸衰竭？,严重慢性呼吸衰竭是指因慢性呼吸系统疾病导致永久不可逆性的呼吸衰竭，经过积极治疗180天后满足以下所有条件：(1)静息时出现呼吸困难；(2)肺功能第一秒用力呼气容积（FEV1）占预计值的百分比＜30%；(3)在静息状态、呼吸空气条件下，动脉血氧分压（PaO2）＜50mmHg。,严重慢性呼吸衰竭可以在治疗后恢复正常肺功能。,严重慢性呼吸衰竭是因为呼吸系统疾病导致的可逆性的呼吸困难。,严重慢性呼吸衰竭是指因心脏疾病导致的永久呼吸困难。,
90,"8.20耐用医疗设备：指在就诊医院购买并能出具医疗费用正式收据的、满足基本医疗需要的康
复设备和矫形支具，包括但不限于腿、臂、背和颈支具，人造腿、臂、眼。
发生因患癌症而行属本合同保险责任范围的乳房切除术情形时，义乳及放
入义乳的胸衣亦属耐用医疗设备。",什么属于耐用医疗设备的范围?,耐用医疗设备包括所有康复设备和矫形支具，无论类型。,耐用医疗设备只包括义乳及放入义乳的胸衣，不包括其他康复设备和矫形支具。,康复设备和矫形支具，包括但不限于腿、臂、背和颈支具，人造腿、臂、眼，以及义乳及放入义乳的胸衣。,耐用医疗设备只包括腿、臂、背和颈支具，不包括人造腿、臂、眼。,
91,"指因疾病或意外伤害导致意识丧失，对外界刺激和体内需求均无反应，昏迷程度按照格拉斯哥昏迷分
级（GCS，GlasgowComaScale）结果为5分或5分以下，且已经持续使用呼吸机及其他生命维持系
统96小时以上。
因酗酒或药物滥用导致的深度昏迷不在保障范围内。",保险条款对于深度昏迷的定义是否包括因酗酒或药物滥用导致的昏迷病例？,不包括,包括,包括但是需要额外条件,限制不清楚，需咨询保险公司,
92,"9.7.8
中度脑炎后遗症或中度脑膜炎后遗症
指因患脑炎或脑膜炎导致的神经系统的功能障碍。神经系统功能障碍，指疾
病确诊180天后，仍存在自主生活能力部分丧失，无法独立完成六项基本日
常生活活动中的两项，但未达到重大疾病“严重脑炎后遗症或严重脑膜炎后
遗症”或“瘫痪”的给付标准。",什么是中度脑炎后遗症或中度脑膜炎后遗症?,中度脑炎后遗症或中度脑膜炎后遗症是指患者在病情稳定后，完全恢复到患病前的状态，没有任何功能障碍。,中度脑炎后遗症或中度脑膜炎后遗症是指因患脑炎或脑膜炎导致的神经系统功能障碍，疾病确诊180天后仍存在自主生活能力部分丧失，无法独立完成六项基本日常生活活动中的两项，但未达到重大疾病“严重脑炎后遗症或严重脑膜炎后遗症”或“瘫痪”的给付标准。,中度脑炎后遗症或中度脑膜炎后遗症是指仅仅表现为轻微的头痛和恶心，对日常生活没有影响。,中度脑炎后遗症或中度脑膜炎后遗症是指患者完全丧失自主生活能力，无法独立完成任何日常生活活动。,
93,"92
严重肌营养不良症
指一组原发于肌肉的疾病，临床表现为与神经系统无关的肌肉无力和肌肉萎
缩。且须满足下列全部条件：
（1）肌肉组织活检结果满足肌营养不良症的肌肉细胞变性、坏死等阳性改变；
（2）自主生活能力完全丧失，无法独立完成六项基本日常生活活动中的三项
或三项以上。",严重肌营养不良症的主要临床表现是什么？,严重肌营养不良症的主要临床表现是肌肉无力和肌肉萎缩，与神经系统无关。,严重肌营养不良症的主要临床表现是关节痛和红肿。,严重肌营养不良症的主要临床表现是神经系统相关疾病的症状。,严重肌营养不良症的主要临床表现是肌肉痉挛和僵硬。,
94,"108.主动脉夹层瘤
指主动脉的内膜破裂导致血液流入主动脉壁中形成夹层动脉瘤。在本定义中，主
动脉指胸主动脉及腹主动脉而非其旁支。诊断必须由专科医生及检验结果证实，
检验包括电脑断层扫描，磁共振扫描及磁共振血管造影或心导管检查的证明，并
有必要进行紧急修补手术。",什么是主动脉夹层瘤的诊断依据？,主动脉夹层瘤的诊断必须由专科医生及检验结果证实，检验包括电脑断层扫描，磁共振扫描及磁共振血管造影或心导管检查的证明。,专科医生的确认并不是诊断主动脉夹层瘤的必须步骤。,诊断主动脉夹层瘤只需进行基本血液检查即可确认。,主动脉夹层瘤的诊断可以由一般医生通过体检进行判断。,
95,"3.1.1.1
住院费用
（1）住院前诊断费
指在被保险人住院前60天内为诊断疾病或身体伤害而进行的必要的诊断治疗。只有因为同一疾病或伤害随后入住医院治疗，住院前诊断费才计入可承保费用，且计入额不超过住院前诊断费承保限额（见附
表一）。",住院前诊断费包括哪些内容？,住院前诊断费只包括入院前的药物治疗费用。,住院前诊断费是指在被保险人住院前60天内为诊断疾病或身体伤害而进行的必要的诊断治疗。,住院前诊断费不包括任何治疗费用。,住院前诊断费只包括入院前的手术治疗费用。,
96,"（1）住院医疗费用
若被保险人因意外伤害或等待期后因意外伤害以外的原因经专科医生首次确诊患有任何一种符合本合同约定保障范围及定义的原位癌、恶性肿瘤——轻度或恶性肿瘤——重度，且因上述
疾病，经本合同约定的医院（见9.13）诊断必须住院治疗的，
对于被保险人实际发生的合理且必需（见9.14）的住院医疗费用，我们将按照本合同约定的给付比例给付医疗费用补偿保险
金。",在何种情况下，保险公司会按照合同约定给付住院医疗费用补偿保险金?,只有当被保险人患有重度恶性肿瘤时，保险公司才给付住院医疗费用补偿保险金。,被保险人只需要被专科医生诊断出患有原位癌或恶性肿瘤，不需要住院治疗，保险公司就会给付住院医疗费用补偿保险金。,当被保险人因意外伤害或等待期后因意外伤害以外的原因首次确诊患有符合保险合同约定保障范围及定义的原位癌、轻度或恶性肿瘤，且需要在合同约定的医院住院治疗时，保险公司会按照合同约定的给付比例给付住院医疗费用补偿保险金。,只有当被保险人因意外伤害导致住院治疗时，保险公司才给付住院医疗费用补偿保险金。,
97,"艾滋病病毒指人类免疫缺陷病毒，英文缩写为HIV。艾滋病指人类免疫缺陷病毒引起的获得性免疫缺陷综合征，英文缩写为AIDS。
在人体血液或其他样本中检测到艾滋病病毒或其抗体呈阳性，没有出现临床症状或体征的，为感染艾滋病病毒；如果同时出现了明显临床症状或体征的，为患艾滋病。",什么是艾滋病病毒？,艾滋病病毒指人类免疫缺陷病毒，英文缩写为AIDS。,艾滋病病毒指人类免疫缺陷病毒引起的获得性免疫缺陷综合征，英文缩写为HIV。,艾滋病病毒指人类免疫缺陷病毒，英文缩写为HIV。,艾滋病病毒是一种人类免疫疾病。,
98,"指为治疗主动脉疾病或主动脉创伤，已经实施了开胸（含胸腔镜下）或开腹（含腹腔镜下）进行的切
除、置换、修补病损主动脉血管、主动脉创伤后修复的手术。主动脉指升主动脉、主动脉弓和降主动
脉（含胸主动脉和腹主动脉），不包括升主动脉、主动脉弓和降主动脉的分支血管。
所有未实施开胸或开腹的动脉内介入治疗不在保障范围内。",如果对主动脉疾病或主动脉创伤进行动脉内介入治疗，是否在保障范围内？,无法确定是否在保障范围内。,在保障范围内。,不在保障范围内。,部分情况下在保障范围内。,
